target,run,generation,regression-function,?
0,0,47,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,48,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,49,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,50,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,51,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,52,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,53,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,54,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,55,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,56,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,57,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,58,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,59,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,60,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,61,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
