start_node,end_node,start_lat,start_lon,end_lat,end_lon,length,duration,oneway
252416605,7371948495,53.2270688,8.5362933,53.227177,8.5364045,14.126,1.6951199999999997,False
252416605,7544991103,53.2270688,8.5362933,53.2264755,8.5356329,79.277,9.51324,False
252416606,280854853,53.2285115,8.5377868,53.2286222,8.537957,16.729,2.0074799999999997,False
252416606,3994145910,53.2285115,8.5377868,53.2281244,8.5373776,50.938,6.11256,False
252416607,3994145755,53.2294819,8.5391323,53.2298233,8.539628,50.297,6.035639999999999,False
252416607,280854853,53.2294819,8.5391323,53.2286222,8.537957,123.525,14.823,False
252416608,7389055360,53.2305878,8.5408736,53.2306263,8.5409396,6.134,0.73608,False
252416608,280854832,53.2305878,8.5408736,53.2304423,8.5406468,22.128,2.65536,False
252416609,7281757533,53.2319437,8.5431963,53.2316021,8.5426111,54.405,6.5286,False
252416609,2295108119,53.2319437,8.5431963,53.232732,8.5413266,152.216,18.26592,False
252416609,2295107812,53.2319437,8.5431963,53.231586,8.5439974,66.521,4.789512,False
252416610,2295106473,53.2294941,8.6078989,53.229805,8.6078308,34.866,1.7931085714285715,False
252416610,1346338828,53.2294941,8.6078989,53.2295545,8.608421,35.395,1.820314285714286,False
252416610,4597558987,53.2294941,8.6078989,53.2294497,8.6079169,5.08,0.6095999999999999,False
252416610,2295107605,53.2294941,8.6078989,53.2294679,8.6076964,13.79,0.7092,False
252416611,2295107646,53.2300754,8.607758,53.2301045,8.6077421,3.404,0.17506285714285716,False
252416611,4454597068,53.2300754,8.607758,53.2298367,8.6078223,26.885,1.382657142857143,False
252416612,3612810910,53.2306822,8.6073571,53.2308619,8.6072279,21.754,1.118777142857143,False
252416612,1346338850,53.2306822,8.6073571,53.2303714,8.6075755,37.492,1.92816,False
252416613,3612810925,53.2312594,8.6068711,53.2310569,8.6070751,26.294,1.3522628571428572,False
252416613,3612810955,53.2312594,8.6068711,53.2314317,8.6066464,24.305,1.2499714285714287,False
252416614,3731827342,53.2318266,8.6060708,53.2319546,8.6058533,20.301,1.0440514285714286,False
252416614,3731827324,53.2318266,8.6060708,53.2316172,8.6063887,31.462,1.6180457142857143,False
252416615,299811839,53.2322749,8.6052573,53.2326691,8.6043323,75.576,3.886765714285714,False
252416615,3731827342,53.2322749,8.6052573,53.2319546,8.6058533,53.311,2.7417085714285716,False
252416618,3614971708,53.2353467,8.5979496,53.2354019,8.597675,19.279,1.388088,False
252416618,3614971702,53.2353467,8.5979496,53.2352691,8.5982092,19.312,1.3904640000000001,False
252416620,252416621,53.2356958,8.5955707,53.2357281,8.5949058,44.397,3.1965839999999996,False
252416620,3614971711,53.2356958,8.5955707,53.2354593,8.5973168,119.147,8.578584,False
