target,run,generation,regression-function,?
0,0,41,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,42,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,43,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,44,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,45,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,46,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,47,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,48,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,49,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,50,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,51,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,52,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,53,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,54,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,55,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,56,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,57,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,58,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
